Date,Open,High,Low,Close
10/04/2013,0.05%,0.08%,0.05%,0.07%
09/27/2013,0.06%,0.06%,0.04%,0.04%
09/20/2013,0.08%,0.08%,0.07%,0.07%
09/13/2013,0.09%,0.09%,0.08%,0.08%
9/05/2013,0.09%,0.09%,0.09%,0.09%
08/30/2013,0.11%,0.12%,0.09%,0.10%
08/20/2013,0.08%,0.08%,0.08%,0.08%
08/16/2013,0.09%,0.10%,0.08%,0.10%
8/09/2013,0.10%,0.10%,0.09%,0.09%
8/02/2013,0.09%,0.09%,0.09%,0.09%
07/26/2013,0.09%,0.10%,0.09%,0.10%
07/19/2013,0.10%,0.10%,0.10%,0.10%
7/12/2013,0.10%,0.10%,0.09%,0.10%
7/05/2013,0.10%,0.10%,0.09%,0.09%
06/28/2013,0.09%,0.10%,0.09%,0.10%
06/19/2013,0.09%,0.09%,0.09%,0.09%
6/07/2013,0.07%,0.08%,0.07%,0.08%
05/24/2013,0.10%,0.10%,0.09%,0.10%
05/16/2013,0.09%,0.09%,0.09%,0.09%
5/10/2013,0.09%,0.09%,0.09%,0.09%
5/03/2013,0.08%,0.09%,0.08%,0.09%
04/26/2013,0.08%,0.09%,0.07%,0.07%
04/17/2013,0.09%,0.09%,0.09%,0.09%
4/12/2013,0.05%,0.09%,0.05%,0.09%
4/05/2013,0.04%,0.05%,0.04%,0.05%
03/29/2013,0.05%,0.05%,0.05%,0.05%
03/22/2013,0.05%,0.05%,0.05%,0.05%
03/15/2013,0.05%,0.05%,0.05%,0.05%
3/08/2013,0.07%,0.07%,0.05%,0.05%
3/01/2013,0.08%,0.08%,0.07%,0.07%
02/22/2013,0.08%,0.09%,0.08%,0.08%
02/15/2013,0.08%,0.08%,0.08%,0.08%
2/08/2013,0.10%,0.10%,0.08%,0.08%
2/01/2013,0.11%,0.11%,0.10%,0.10%
01/25/2013,0.10%,0.11%,0.10%,0.11%
01/18/2013,0.11%,0.11%,0.10%,0.10%
1/11/2013,0.10%,0.11%,0.10%,0.11%
1/04/2013,0.10%,0.10%,0.10%,0.10%
