Date,Open,High,Low,Close,Adj Close,Volume
20/05/2014,0.00473,0.00476,0.00471,0.00476,0.00476,0
27/05/2014,0.00475,0.00476,0.00473,0.00474,0.00474,0
3/06/2014,0.00477,0.00478,0.00476,0.00478,0.00478,0
10/06/2014,0.00475,0.00476,0.00473,0.00474,0.00474,0
17/06/2014,0.00475,0.00475,0.00471,0.00473,0.00473,0
24/06/2014,0.00471,0.00472,0.00469,0.00469,0.00469,0
1/07/2014,0.0047,0.00473,0.00469,0.00473,0.00473,0
8/07/2014,0.00472,0.00472,0.00471,0.00471,0.00471,0
15/07/2014,0.00473,0.00473,0.00471,0.00471,0.00471,0
22/07/2014,0.00472,0.00473,0.00471,0.00473,0.00473,0
29/07/2014,0.00473,0.00478,0.00473,0.00478,0.00478,0
5/08/2014,0.00478,0.00478,0.00474,0.00474,0.00474,0
12/08/2014,0.00475,0.00478,0.00475,0.00477,0.00477,0
19/08/2014,0.00476,0.00484,0.00476,0.00482,0.00482,0
26/08/2014,0.00484,0.00485,0.00482,0.00482,0.00482,0
2/09/2014,0.00485,0.0049,0.00484,0.00489,0.00489,0
9/09/2014,0.00491,0.005,0.00491,0.005,0.005,0
16/09/2014,0.00499,0.00507,0.00498,0.00505,0.00505,0
23/09/2014,0.00506,0.00508,0.00503,0.00505,0.00505,0
30/09/2014,0.00508,0.00511,0.00503,0.00504,0.00504,0
7/10/2014,0.00507,0.00507,0.00497,0.00498,0.00498,0
14/10/2014,0.00499,0.00499,0.0049,0.00494,0.00494,0
21/10/2014,0.00496,0.00502,0.00494,0.00502,0.00502,0
28/10/2014,0.00501,0.00518,0.00501,0.00518,0.00518,0
4/11/2014,0.00526,0.00533,0.00525,0.00533,0.00533,0
11/11/2014,0.0053,0.00541,0.0053,0.00541,0.00541,0
18/11/2014,0.00537,0.00546,0.00537,0.00544,0.00544,0
25/11/2014,0.00545,0.00547,0.00541,0.00546,0.00546,0
2/12/2014,0.00545,0.00559,0.00545,0.00557,0.00557,0
9/12/2014,0.0056,0.0056,0.00545,0.00545,0.00545,0
16/12/2014,0.00543,0.00552,0.00534,0.0055,0.0055,0
23/12/2014,0.00552,0.00556,0.00552,0.00555,0.00555,0
30/12/2014,0.00555,0.00555,0.00549,0.00555,0.00555,0
6/01/2015,0.0055,0.00552,0.00545,0.0055,0.0055,0
13/01/2015,0.00546,0.00547,0.00533,0.00538,0.00538,0
20/01/2015,0.00543,0.00547,0.00534,0.00546,0.00546,0
27/01/2015,0.00547,0.00547,0.00539,0.00539,0.00539,0
3/02/2015,0.00542,0.00548,0.00534,0.00541,0.00541,0
10/02/2015,0.00547,0.00554,0.00547,0.00548,0.00548,0
17/02/2015,0.00542,0.00552,0.00542,0.00548,0.00548,0
24/02/2015,0.0055,0.00552,0.00543,0.0055,0.0055,0
3/03/2015,0.00551,0.00557,0.00549,0.00553,0.00553,0
