Date,Open,High,Low,Close,Adj Close,Volume
2015-02-24,18468.390625,18939.169922,18427.980469,18826.880859,18826.880859,749300000
2015-03-03,18910.519531,18979.640625,18586.839844,18790.550781,18790.550781,685100000
2015-03-10,18891.009766,19349.199219,18577.060547,19246.060547,19246.060547,784800000
2015-03-17,19425.890625,19778.599609,19312.699219,19754.359375,19754.359375,679200000
2015-03-24,19718.990234,19775.449219,19099.869141,19411.400391,19411.400391,756300000
2015-03-31,19592.429688,19607.250000,18927.949219,19397.980469,19397.980469,660400000
2015-04-07,19539.029297,20006.000000,19501.310547,19905.460938,19905.460938,640900000
2015-04-14,19828.650391,19922.500000,19474.230469,19634.490234,19634.490234,739800000
2015-04-21,19731.570313,20252.119141,19678.220703,19983.320313,19983.320313,830100000
2015-04-28,20068.650391,20133.779297,19399.160156,19531.630859,19531.630859,481900000
2015-05-05,19356.460938,19679.630859,19257.849609,19620.910156,19620.910156,561700000
2015-05-12,19608.230469,19890.269531,19467.650391,19890.269531,19890.269531,954000000
2015-05-19,19977.140625,20417.769531,19946.750000,20413.769531,20413.769531,823600000
2015-05-26,20431.269531,20655.330078,20363.210938,20569.869141,20569.869141,971500000
2015-06-02,20604.669922,20619.609375,20359.060547,20457.189453,20457.189453,841300000
2015-06-09,20293.050781,20437.259766,20016.320313,20387.789063,20387.789063,799900000
2015-06-16,20332.830078,20433.300781,19990.550781,20428.189453,20428.189453,693100000
2015-06-23,20547.740234,20952.710938,20093.160156,20109.949219,20109.949219,783700000
2015-06-30,20174.609375,20601.730469,20012.230469,20112.119141,20112.119141,739000000
2015-07-07,20354.230469,20428.000000,19115.199219,20089.769531,20089.769531,931800000
2015-07-14,20355.330078,20658.949219,20322.199219,20650.919922,20650.919922,543800000
2015-07-21,20763.310547,20850.000000,20278.730469,20350.099609,20350.099609,632300000
2015-07-28,20188.570313,20585.240234,20070.619141,20548.109375,20548.109375,813000000
2015-08-04,20462.179688,20820.859375,20448.490234,20808.689453,20808.689453,792900000
2015-08-11,20920.599609,20946.929688,20303.019531,20620.259766,20620.259766,742900000
2015-08-18,20640.589844,20663.179688,18498.800781,18540.679688,18540.679688,866400000
2015-08-25,18171.660156,19192.820313,17714.300781,18890.480469,18890.480469,1147300000
2015-09-01,18763.720703,18777.470703,17478.720703,17860.470703,17860.470703,853400000
2015-09-08,17941.910156,18770.509766,17415.609375,17965.699219,17965.699219,857300000
2015-09-15,18082.720703,18468.199219,17995.980469,18070.210938,18070.210938,575300000
2015-09-22,17803.410156,17886.490234,17483.689453,17645.109375,17645.109375,483500000
2015-09-29,17359.380859,18079.460938,16901.490234,18005.490234,18005.490234,770200000
2015-10-06,18302.410156,18438.669922,18043.080078,18438.669922,18438.669922,651700000
2015-10-13,18335.150391,18397.519531,17758.119141,18131.230469,18131.230469,671900000
2015-10-20,18245.539063,19088.759766,18147.980469,18947.119141,18947.119141,654900000
2015-10-27,18961.160156,19202.339844,18641.220703,18683.240234,18683.240234,742000000
2015-11-03,18941.320313,19684.410156,18926.910156,19642.740234,19642.740234,593000000
2015-11-10,19457.050781,19725.830078,19252.039063,19393.689453,19393.689453,636600000
2015-11-17,19641.669922,19959.060547,19628.839844,19879.810547,19879.810547,521400000
2015-11-24,19875.990234,19994.050781,19707.669922,19747.470703,19747.470703,660200000
2015-12-01,19799.080078,20012.400391,19444.539063,19698.150391,19698.150391,602600000
2015-12-08,19689.869141,19764.210938,18611.089844,18883.419922,18883.419922,670600000
2015-12-15,18869.039063,19869.080078,18562.509766,18916.019531,18916.019531,788400000
2015-12-22,18927.859375,19071.410156,18744.439453,18873.349609,18873.349609,490100000
2015-12-29,18843.390625,19113.179688,18394.429688,18450.980469,18450.980469,337600000
2016-01-05,18398.759766,18547.380859,17509.640625,17697.960938,17697.960938,626800000
2016-01-12,17470.929688,17717.750000,16665.050781,16955.570313,16955.570313,827600000
2016-01-19,16902.289063,17208.240234,16017.259766,17110.910156,17110.910156,904000000
2016-01-26,16833.130859,17905.369141,16652.259766,17865.230469,17865.230469,982300000
2016-02-02,17716.519531,17864.699219,16552.300781,17004.300781,17004.300781,1128100000
2016-02-09,16666.789063,16668.699219,14865.769531,16022.580078,16022.580078,1084400000
2016-02-16,15849.469727,16341.559570,15632.120117,16111.049805,16111.049805,918300000
2016-02-23,16230.379883,16472.500000,15753.769531,16026.759766,16026.759766,798300000
2016-03-01,16013.000000,17042.919922,15857.370117,16911.320313,16911.320313,871900000
2016-03-08,16889.480469,17291.349609,16494.800781,17233.750000,17233.750000,818000000
2016-03-15,17219.890625,17279.300781,16613.689453,16724.810547,16724.810547,578900000
2016-03-22,16937.310547,17167.880859,16843.990234,17134.369141,17134.369141,633000000
2016-03-29,16985.279297,17137.199219,16029.500000,16123.269531,16123.269531,728900000
2016-04-05,16044.230469,16066.179688,15471.799805,15751.129883,15751.129883,761300000
2016-04-12,15719.240234,16928.669922,15693.610352,16275.950195,16275.950195,755100000
2016-04-19,16582.660156,17613.560547,16570.500000,17439.300781,17439.300781,855400000
2016-04-26,17358.560547,17572.269531,15975.469727,16147.379883,16147.379883,715500000
2016-05-03,16212.669922,16292.860352,15989.349609,16216.030273,16216.030273,266900000
2016-05-10,16307.500000,16814.640625,16229.150391,16466.400391,16466.400391,745400000
2016-05-17,16618.949219,16841.039063,16417.839844,16654.599609,16654.599609,667100000
2016-05-24,16605.039063,17068.019531,16471.369141,17068.019531,17068.019531,547800000
2016-05-31,17029.460938,17251.359375,16322.639648,16580.029297,16580.029297,662700000
